Score;Fit;Regionsbonus;Ausschlussgrund;Firma;Ort;PLZ;Kanton;Region;Ausgeschriebene Stelle;Pensum;Anzahl Stellen;Mitarbeitende;Groesse belegt;Groessenhinweis;Software;Vermittler;Quelle;Inserat-URL;Website;Kontakt;Mail;Telefon;Beleglage;Notiz
95;87;8;;Heimatt Gruppe | Küng Treuhand AG;Luzern;6003;LU;Luzern Stadt und Agglo;Sachbearbeiter:in Treuhand 60%-100%;60-100%;2;15;nein;;Abacus;nein;;https://www.jobscout24.ch/de/jobs/sachbearbeiter%20treuhand/;;;;;unsicher;NUR aus Snippet-Fliesstext, kein Treffer-Titel und keine Inserats-URL bestätigt Firma+Stelle. Vor Ansprache selber verifizieren. Falls echt: Prio 1 (6003 Luzern, Stadt). | Inserat nennt explizit Abacus als eingesetzte Software und 'zentrale Lage beim Bahnhof', 5 Wochen Ferien. Bahnhofnähe = idealer Kandidat für persönlichen Besuch ohne Terminvereinbarung. Abacus-Umgebung ist für uns ein konkreter Andockpunkt (Schnittstellen/Belegautomatisierung). Achtung: Aggregator-Quelle, Originalinserat nicht gegengeprueft. | Weitere offene Stellen: Sachbearbeiter:in Treuhand (m/w/d) 60-100% | Auch gefunden auf: jobs.ch (Detailseite) | PRIO 1. Snippet: 'erweitern ihr Treuhand-Team am Standort Luzern', 'vielfaeltige Aufgaben im KMU-Umfeld mit diversen Mandaten und direktem Kundenkontakt'. Wachstumssignal = mehr Mandate als Kapazität. Gruppenstruktur (Heimatt Gruppe) heisst oft mehrere Gesellschaf
95;87;8;;zahlenmacher ag;Luzern;6006;LU;Luzern Stadt und Agglo;Sachbearbeiter*in Treuhand 80-100% UND Junior Sachbearbeiter*in Treuhand;80-100%;3;15;nein;Kleines inhabergeführtes Büro, Mitglied TREUHAND|SUISSE Sektion Zentralschweiz;;nein;jobs.ch;https://treuhand-job.ch/region-luzern;https://www.zahlenmacher.ch/de;info@zahlenmacher.ch;info@zahlenmacher.ch;;indiziert;"Weitere offene Stellen: Junior Sachbearbeiter*in Treuhand (80-100%) / Sachbearbeiter/in Treuhand 80-100%; Sachbearbeiter*in Treuhand | Auch gefunden auf: JobScout24 / jobs.ch, jobs.ch (Suchtreffer-Snippet) | TOP-LEAD PRIO 1. Adresse Wesemlinrain 16, 6006 Luzern (Stadt, zu Fuss erreichbar). ZWEI Vakanzen gleichzeitig (Sachbearbeiter + Junior) = sehr starkes Kaufsignal für ein kleines Büro. Leistungen laut Website: Steuern, Jahresabschlüsse, klassische UND digitale Buchhaltung, Finanzberatung für KMU - digitale Affinitaet bereits vorhanden. Direkt vorbeigehen."
92;87;5;;Across Advisory AG;Baar;6340;ZG;übrige Zentralschweiz;"Sachbearbeiter/in Treuhand 80-100%; zusätzlich Junior Mandatsleiter/in Treuhand";80-100%;3;17;ja;17-köpfiges Team, gegr. 2021, in unter 5 Jahren von Einzelfirma auf 17 Personen gewachsen;;nein;jobscout24.ch;https://www.jobs.ch/en/companies/da2b5ca6-699a-4743-81b6-1912d532a9d6-across-advisory-ag/;https://www.across-advisory.ch;+41 41 541 68 88 / info@across-advisory.ch;info@across-advisory.ch;+41 41 541 68 88;indiziert;"Weitere offene Stellen: Sachbearbeiter/in Treuhand 80-100% (Festanstellung); Sachbearbeiter/in Treuhand | Auch gefunden auf: jobs.ch, jobs.ch (Trefferliste) | IDEALES ZIELPROFIL. Genau im 4-25-MA-Fenster, sehr schnelles Wachstum, laut Selbstbeschreibung 'klarer Fokus auf digitale Lösungen, Effizienz und persönliche Betreuung'. Zwei offene Stellen. Mitglied TREUHAND|SUISSE. Prio 2 (Zug, gut erreichbar ab Luzern)."
92;84;8;;KTax AG;Luzern;6003;LU;Luzern Stadt und Agglo;Sachbearbeiter/in Steuern und Treuhand (80-100%);80-100%;2;6;nein;"Kleines Treuhand-/Steuerbüro, Winkelriedstrasse 35, 6003 Luzern; Kontakt geht direkt an einen Partner/Inhaber";Abacus;nein;Indeed;https://ch.indeed.com/viewjob?jk=b656562acc9b5e12;https://www.ktax.ch;Kurt Widmer, Tel. +41 41 227 37 00, Fax +41 41 227 37 09, kwidmer@ktax.ch;kwidmer@ktax.ch;+41 41 227 37 00;indiziert;Weitere offene Stellen: Sachbearbeiter/in für Steuern und Treuhand (100%) | Auch gefunden auf: jobs.ch + eigene Karriereseite | SEHR GUTER LEAD für Automatisierung: Inserat nennt explizit ABACUS ('Kundenbuchhaltungen in Abacus inkl. Lohnbuchhaltung, Steuererklärungen'). Eigene Karriereseite: https://ktax.ch/karriere/sachbearbeiter-in-steuern-und-treuhand/ . Adresse Winkelriedstrasse 35, 6003 Luzern - Prio 1, zu Fuss erreichbar. ACHTUNG: Kontaktangaben (Kurt Widmer, kwidmer@ktax.ch, +41 41 227 37 00) stammen aus einem Such-Snippet und sind NICHT von mir auf der Seite verifiziert - vor Nutzung auf ktax.ch/en/contact/ gegenpruefen.
91;86;5;;Juris Treuhand AG;Zug;6300;ZG;übrige Zentralschweiz;Mandatsleiter/in Treuhand;;3;30;ja;ca. 30 Mitarbeitende, seit 55 Jahren, 4 Standorte;Abacus;nein;jobwinner.ch;https://jobwinner.ch/en/job/1172757511;https://www.juristreuhand.ch;;;;indiziert;"Weitere offene Stellen: Sachbearbeiter/in Treuhand 80-100% (Festanstellung); Sachbearbeiter/in Treuhand | Auch gefunden auf: financejobs.ch (Suchtreffer-Snippet), jobs.ch, jobs.ch (Trefferliste) | IDEALE ZIELGROESSE (~30 MA) und Prio-Region 2. Snippet nennt explizit: selbständige Führung von Kundenbuchhaltungen inkl. Abschlüsse, Revisionsunterlagen, LOHNBUCHHALTUNG und Personaladministration, Software ABACUS. Genau der Arbeitsstapel, den Automatisierung abnimmt. Ansprache über Abacus-Schnittstellen/Lohnlauf-Automatisierung."
89;81;8;;A & B Treuhand AG;Luzern;6004;LU;Luzern Stadt und Agglo;Sachbearbeiter/in Treuhand 80-100%;80-100%;1;15;nein;'Langjaehrige Erfahrung in der Treuhandbranche im Herzen von Luzern', KMU;;nein;jobwinner.ch;https://jobwinner.ch/de/job/1445690858;https://ab-treuhand.ch/;041 418 12 12 / info@ab-treuhand.ch;info@ab-treuhand.ch;041 418 12 12;indiziert;Auch gefunden auf: ab-treuhand.ch | PRIO 1 DIREKTBESUCH. Gerbergasse 1, 6004 Luzern (Altstadt). Ganzheitliches Treuhand- und Revisionsunternehmen: Steuerberatung, Revision, Buchhaltung/Rechnungslegung, Lohn- und Personaladministration, MWST inkl. Fiskalvertretung, Rechtsberatung.
89;81;8;;Bättig Treuhand AG;Luzern;6003;LU;Luzern Stadt und Agglo;Treuhandsachbearbeiter/in (mit/ohne FA) 60-100%;60-100%;2;25;ja;25 Mitarbeitende, 'modernes Treuhandunternehmen im Herzen von Luzern';;nein;jobagent.ch;https://www.jobagent.ch/job/treuhandsachbearbeiter-in-mit-ohne-fa-60-100/324d576e43;https://www.baettig-treuhand.ch;;;;indiziert;Weitere offene Stellen: KV-Lehrstelle Kaufmann/-frau EFZ Treuhand/Immobilien 2026/2027 (keine Sachbearbeiter-Stelle belegt) | Auch gefunden auf: yousty.ch, zentraljob.ch | IDEALE ZIELGROESSE (25 MA) und Prio 1 (Stadt Luzern). Inserat betont 'modernes Arbeitsumfeld' und enge Zusammenarbeit mit Mandatsleitern - anschlussfaehig für Automatisierungs-Pitch. Firmenprofil mit allen Inseraten: https://www.zentraljob.ch/firma/baettig-treuhand-ag/2128
88;83;5;;Huwiler & Partner Treuhand AG;Cham;6330;ZG;übrige Zentralschweiz;Sachbearbeitung Treuhand (min. 60%);ab 60%;1;15;nein;'Dynamisches Treuhand- und Immobilienunternehmen im Kanton Zug' (laut Snippet) - partnergeführtes KMU;Abacus;nein;jobs.ch;https://www.jobs.ch/en/vacancies/detail/501a825a-5133-4051-ba6f-86fe729a4264/;;;;;indiziert;PRIORITAET 2 (Zug). SOFTWARE: ABACUS explizit gefordert. Treuhand + Immobilienbewirtschaftung = viel repetitive Mietzins-/Nebenkostenarbeit, guter Automatisierungshebel.
86;81;5;;Facto Treuhand AG;Zug;6300;ZG;übrige Zentralschweiz;Sachbearbeiter/in Treuhand (60-100%);60-100%;2;15;nein;'Etabliertes und aufstrebendes Treuhandunternehmen' in Zug, regionale und internationale Kunden;;nein;jobwinner.ch;https://jobwinner.ch/en/job/14022100;;;;;indiziert;Weitere offene Stellen: Sachbearbeiter Treuhand | Auch gefunden auf: JobScout24 (Detailseite), jobscout24.ch | Adresse aus Inserats-Titel: Chamerstrasse 172, 6300 Zug - Prio 2. 'Aufstrebend' = Wachstum ohne Personal. Sucht Unterstuetzung für Mandatsleiter bei nationalen und internationalen Kunden.
86;81;5;;KD Zug-Treuhand AG;Zug;6300;ZG;übrige Zentralschweiz;Treuhänder/in oder Buchhalter/in (w/m) 100% mit Fachausweis und Mandatsverantwortung;100%;2;16;ja;Team von 16 Mitarbeitenden, gut etabliert in Zug;;nein;jobwinner.ch;https://jobwinner.ch/de/job/14284373;https://www.kdzug.ch/;;;;indiziert;Auch gefunden auf: kdzug.ch | Adresse aus Inserats-Titel: Untermueli 7, 6300 Zug - Prio 2. IDEALE GROESSE (16 MA). Laut Snippet ZWEI offene Stellen parallel: (1) Treuhänder/Buchhalter mit Mandatsverantwortung, (2) Sachbearbeiter/in Kreditoren und Debitoren 80-100% - doppeltes Kapazitätssignal. Alle Inserate: https://jobwinner.ch/de/jobs?q=KD+Zug-Treuhand+AG
